group_id,attempts,successes,post_alpha,post_beta,post_mean,ci_low,ci_high,label
A,2,1,3.0,3.0,0.5,0.24663645328846656,0.7533635467115334,Attempted
A,5,3,5.0,4.0,0.5555555555555556,0.34462318685401877,0.7603381711005455,Familiar
B,1,0,2.0,3.0,0.4,0.1425593167100307,0.6795394162781817,Attempted
B,7,6,8.0,3.0,0.7272727272727273,0.550396111326414,0.8841747219702369,Proficient
C,10,4,6.0,8.0,0.42857142857142855,0.26373025613131135,0.5982386273058099,Attempted
D,3,3,5.0,2.0,0.7142857142857143,0.4896836934485083,0.9074047410868713,Familiar
E,8,2,4.0,8.0,0.3333333333333333,0.16923334198206869,0.510761037406572,Attempted
F,12,9,11.0,5.0,0.6875,0.536029124968276,0.8280319766364006,Proficient
G,4,1,3.0,5.0,0.375,0.16963841739720056,0.5961797278480441,Attempted
H,6,5,7.0,3.0,0.7,0.509918805554197,0.8705027031423103,Proficient
